id,repeat,budgetMs,variant,elapsedMs,nodes,depth,move,gapCp,deltaGapCp,changed,pvLength,lmrReductions,lmrResearches
10,0,3000,baseline,3000.104,743446,5,7e7f,307,0,False,5,0,0
10,0,3000,fast,3000.105,1207186,6,6c7d,0,-307,True,6,0,0
10,1,3000,history,3000.147,1341387,7,6c7d,0,-307,True,9,20320,13
10,1,3000,baseline,3000.095,745733,5,7e7f,307,0,False,5,0,0
10,1,3000,fast,3000.122,1267046,6,6c7d,0,-307,True,6,0,0
10,1,3000,lmr,3000.106,1411548,7,9d9e,247,-60,True,7,18286,48
11,0,3000,history,3000.112,1350356,7,5i4i,61,35,True,7,17667,38
11,0,3000,baseline,3000.135,745013,5,2i3g,26,0,False,5,0,0
11,0,3000,fast,3000.113,1333122,6,4h5h,0,-26,True,7,0,0
11,0,3000,lmr,3000.109,1404089,7,3f3e,225,199,True,7,32969,114
11,1,3000,baseline,3000.102,834763,5,2i3g,26,0,False,5,0,0
11,1,3000,fast,3000.109,1289121,6,4h5h,0,-26,True,7,0,0
11,1,3000,lmr,3000.107,1382577,7,3f3e,225,199,True,7,32341,114
11,1,3000,history,3000.106,1329655,7,5i4i,61,35,True,7,17541,37
12,0,3000,baseline,3000.102,778615,6,8g8f,0,0,False,6,0,0
12,0,3000,fast,3000.105,1216799,6,8g8f,0,0,False,6,0,0
12,0,3000,lmr,3000.103,1318744,7,8g8f,0,0,False,7,22085,24
12,0,3000,history,3000.138,1321890,7,8g8f,0,0,False,8,21197,6
12,1,3000,fast,3000.108,1301615,6,8g8f,0,0,False,6,0,0
12,1,3000,lmr,3000.107,1383418,8,8g8f,0,0,False,8,23324,30
12,1,3000,history,3000.125,1334922,7,8g8f,0,0,False,8,21585,6
12,1,3000,baseline,3000.098,836917,6,8g8f,0,0,False,6,0,0
13,0,3000,fast,3000.096,1218956,6,2h4h,0,-457,True,7,0,0
13,0,3000,lmr,3000.108,1322347,7,P*4h,457,0,False,8,27672,48
13,0,3000,history,3000.112,1400772,7,P*4h,457,0,False,8,27168,13
13,0,3000,baseline,3000.1,761219,5,P*4h,457,0,False,8,0,0
13,1,3000,lmr,3000.104,1340908,7,P*4h,457,0,False,8,27848,48
13,1,3000,history,3000.114,1466283,7,P*4h,457,0,False,8,27910,13
13,1,3000,baseline,3000.161,785163,5,P*4h,457,0,False,8,0,0
13,1,3000,fast,3000.097,1365509,6,2h4h,0,-457,True,7,0,0
14,0,3000,lmr,3000.105,1234267,7,6f6e,488,0,False,7,30997,11
14,0,3000,history,3000.11,1263658,7,6f6e,488,0,False,7,27274,1
14,0,3000,baseline,3000.107,784193,5,6f6e,488,0,False,5,0,0
14,0,3000,fast,3000.105,1238201,6,6f6e,488,0,False,6,0,0
14,1,3000,history,3000.101,1301232,7,6f6e,488,0,False,7,29351,1
14,1,3000,baseline,3000.103,740230,5,6f6e,488,0,False,5,0,0
14,1,3000,fast,3004.652,1264092,6,6f6e,488,0,False,6,0,0
14,1,3000,lmr,3000.108,1270637,7,6f6e,488,0,False,7,32236,11
15,0,3000,history,3000.104,1627535,7,7h8g,0,0,False,10,21265,5
15,0,3000,baseline,3000.114,908782,6,7h8g,0,0,False,6,0,0
15,0,3000,fast,3000.109,1520416,6,7h8g,0,0,False,6,0,0
15,0,3000,lmr,3000.104,1685746,7,7h8g,0,0,False,9,20425,47
15,1,3000,baseline,3000.138,926811,6,7h8g,0,0,False,6,0,0
15,1,3000,fast,3000.099,1521352,6,7h8g,0,0,False,6,0,0
15,1,3000,lmr,3000.101,1647672,7,7h8g,0,0,False,9,18914,47
15,1,3000,history,3000.102,1512526,7,7h8g,0,0,False,10,20465,5
