id,rep,ms,variant,move,gap_cp,raw_cp_gap,effort_or_depth,iteration_unit,seldepth,pv_plies,nodes,elapsed_ms,fallback,stop,reductions,researches,max_legal_width
14,1,1000,baseline,8g8f,170,170,6,plies,14,6,415952,1000.116,False,time_limit,0,0,0
14,1,1000,history,8g8f,170,170,7,plies,15,7,413020,1000.107,False,time_limit,8601,1,0
14,1,1000,adaptive,5e5d,0,0,6,effort_steps_4,26,8,442558,1000.099,False,time_limit,118171,112,220
14,0,300,adaptive,8g8f,170,170,5,effort_steps_4,26,6,141016,300.102,False,time_limit,43830,72,189
14,0,300,blend,8g8f,170,170,5,effort_steps_4,20,6,134851,300.103,False,time_limit,45380,70,170
14,0,300,clipped,8g8f,170,170,5,effort_steps_4,20,6,125519,300.095,False,time_limit,43566,64,170
14,0,300,tempo,8g8f,170,170,5,effort_steps_4,20,7,137433,300.105,False,time_limit,45070,68,189
14,0,300,baseline,5e5d,0,0,5,plies,13,5,138402,300.309,False,time_limit,0,0,0
14,0,300,history,8g8f,170,170,6,plies,14,6,135321,300.096,False,time_limit,2855,1,0
14,1,300,blend,8g8f,170,170,5,effort_steps_4,20,6,137713,300.102,False,time_limit,45792,73,170
14,1,300,clipped,8g8f,170,170,5,effort_steps_4,20,6,135892,300.108,False,time_limit,45565,70,170
14,1,300,tempo,8g8f,170,170,5,effort_steps_4,20,7,137958,300.511,False,time_limit,45099,68,189
14,1,300,baseline,5e5d,0,0,5,plies,13,5,129831,300.111,False,time_limit,0,0,0
14,1,300,history,8g8f,170,170,6,plies,14,6,143286,300.102,False,time_limit,3439,1,0
14,1,300,adaptive,8g8f,170,170,5,effort_steps_4,26,6,143982,300.097,False,time_limit,45224,72,189
15,0,1000,blend,B*4f,0,0,4,effort_steps_4,18,5,382558,1000.103,False,time_limit,136536,41,196
15,0,1000,clipped,B*4f,0,0,4,effort_steps_4,18,5,388294,1000.134,False,time_limit,138297,41,196
15,0,1000,tempo,B*4f,0,0,4,effort_steps_4,19,5,401794,1000.097,False,time_limit,144484,46,196
15,0,1000,baseline,B*4f,0,0,5,plies,13,5,459386,1006.66,False,time_limit,0,0,0
15,0,1000,history,B*4f,0,0,5,plies,13,5,446607,1000.096,False,time_limit,5409,1,0
15,0,1000,adaptive,B*4f,0,0,4,effort_steps_4,18,5,420129,1000.105,False,time_limit,147601,45,196
15,1,1000,clipped,B*4f,0,0,4,effort_steps_4,18,5,417141,1000.131,False,time_limit,143073,44,196
15,1,1000,tempo,B*4f,0,0,4,effort_steps_4,19,5,417549,1000.104,False,time_limit,149329,48,196
15,1,1000,baseline,B*4f,0,0,5,plies,13,5,425711,1000.094,False,time_limit,0,0,0
15,1,1000,history,B*4f,0,0,5,plies,13,5,427990,1000.11,False,time_limit,5402,0,0
15,1,1000,adaptive,B*4f,0,0,4,effort_steps_4,18,5,406097,1000.129,False,time_limit,142611,45,196
15,1,1000,blend,B*4f,0,0,4,effort_steps_4,18,5,379295,1000.119,False,time_limit,135824,41,196
15,0,300,blend,B*4f,0,0,3,effort_steps_4,13,4,121238,300.805,False,time_limit,47862,23,150
15,0,300,clipped,B*4f,0,0,3,effort_steps_4,13,4,124796,300.148,False,time_limit,49561,23,150
15,0,300,tempo,B*4f,0,0,3,effort_steps_4,12,4,129676,300.096,False,time_limit,59408,19,130
15,0,300,baseline,B*4f,0,0,4,plies,12,4,146519,300.096,False,time_limit,0,0,0
15,0,300,history,B*4f,0,0,4,plies,12,4,133420,300.096,False,time_limit,1247,0,0
15,0,300,adaptive,B*4f,0,0,3,effort_steps_4,14,4,125913,300.093,False,time_limit,55935,25,130
15,1,300,clipped,B*4f,0,0,3,effort_steps_4,13,4,133653,300.097,False,time_limit,54206,23,150
15,1,300,tempo,B*4f,0,0,3,effort_steps_4,12,4,133184,300.112,False,time_limit,61121,19,130
15,1,300,baseline,B*4f,0,0,4,plies,12,4,128055,300.103,False,time_limit,0,0,0
15,1,300,history,B*4f,0,0,4,plies,12,4,149197,300.095,False,time_limit,1609,0,0
15,1,300,adaptive,B*4f,0,0,3,effort_steps_4,14,4,126671,300.097,False,time_limit,56367,25,130
15,1,300,blend,B*4f,0,0,3,effort_steps_4,13,4,133065,300.1,False,time_limit,53852,23,150
2,0,1000,adaptive,7i7h,0,0,5,effort_steps_4,33,6,485985,1000.101,False,time_limit,112600,40,211
2,0,1000,blend,7i7h,0,0,5,effort_steps_4,33,6,471708,1007.064,False,time_limit,109035,37,211
2,0,1000,clipped,7i7h,0,0,5,effort_steps_4,33,6,448479,1000.135,False,time_limit,105514,37,211
2,0,1000,tempo,7i7h,0,0,5,effort_steps_4,27,6,479489,1000.588,False,time_limit,112675,34,211
2,0,1000,baseline,7i7h,0,0,5,plies,13,5,486463,1000.101,False,time_limit,0,0,0
2,0,1000,history,7i7h,0,0,5,plies,13,5,450389,1000.098,False,time_limit,1659,0,0
2,1,1000,blend,7i7h,0,0,5,effort_steps_4,33,6,488686,1000.098,False,time_limit,111990,37,211
2,1,1000,clipped,7i7h,0,0,5,effort_steps_4,33,6,458072,1000.139,False,time_limit,106498,37,211
2,1,1000,tempo,7i7h,0,0,5,effort_steps_4,27,6,461567,1000.097,False,time_limit,110184,34,211
2,1,1000,baseline,7i7h,0,0,5,plies,13,5,438691,1000.191,False,time_limit,0,0,0
2,1,1000,history,7i7h,0,0,5,plies,13,5,451785,1000.302,False,time_limit,1714,0,0
2,1,1000,adaptive,7i7h,0,0,5,effort_steps_4,33,6,472766,1000.102,False,time_limit,110252,40,211
2,0,300,adaptive,7i7h,0,0,4,effort_steps_4,19,5,148919,300.157,False,time_limit,50147,18,207
2,0,300,blend,7i7h,0,0,4,effort_steps_4,19,5,142982,300.193,False,time_limit,46971,18,207
2,0,300,clipped,7i7h,0,0,4,effort_steps_4,19,5,140207,300.097,False,time_limit,45481,18,207
2,0,300,tempo,7i7h,0,0,4,effort_steps_4,18,5,141579,300.116,False,time_limit,45651,15,207
2,0,300,baseline,7i7h,0,0,5,plies,13,5,154603,300.096,False,time_limit,0,0,0
2,0,300,history,7i7h,0,0,5,plies,13,5,148999,300.102,False,time_limit,0,0,0
2,1,300,blend,7i7h,0,0,4,effort_steps_4,19,5,140903,300.106,False,time_limit,45975,18,207
2,1,300,clipped,7i7h,0,0,4,effort_steps_4,19,5,144163,300.098,False,time_limit,47386,18,207
